
1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       15 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       21 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       16 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       15 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       15 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       15 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       15 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       15 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       20 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       16 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       15 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       21 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       22 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       22 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       15 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       14 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       15 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       13 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       14 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       15 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       20 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       25 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       15 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       14 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       14 

3.09 1.64 
8.76 5.81 
  - 

1.22 0.21 
2.80 1.11 
  - 
2.10 0.79 
2.61 3.24 

  - 
       14 

3.09 1.64 
8.76 5.81 
  - 

1.22 3.23 
0.93 1.30 
  - 
2.62 1.67 
0.44 1.96 

  - 
       15 

4.62 8.35 
3.02 4.09 
  - 

1.22 3.23 
0.93 1.30 
  - 
2.62 1.67 
0.44 1.96 

  - 
       14 

4.62 8.35 
3.02 4.09 
  - 

1.22 3.23 
0.93 1.30 
  - 
2.62 1.67 
0.44 1.96 

  - 
       15 

4.62 8.35 
3.02 4.09 
  - 

1.22 3.23 
0.93 1.30 
  - 
2.62 1.67 
0.44 1.96 

  - 
       16 

4.62 8.35 
3.02 4.09 
  - 
